year,msa,exog_shock
2022,Greensboro - NC,0
2023,Greensboro - NC,0
2024,Greensboro - NC,0
2000,Greenville - SC,0
2001,Greenville - SC,0
2002,Greenville - SC,0
2003,Greenville - SC,0
2004,Greenville - SC,0
2005,Greenville - SC,0
2006,Greenville - SC,0
2007,Greenville - SC,0
2008,Greenville - SC,0
2009,Greenville - SC,0
2010,Greenville - SC,0
2011,Greenville - SC,0
2012,Greenville - SC,0
2013,Greenville - SC,0
2014,Greenville - SC,0
2015,Greenville - SC,0
2016,Greenville - SC,0
2017,Greenville - SC,0
2018,Greenville - SC,0
2019,Greenville - SC,0
2020,Greenville - SC,0
2021,Greenville - SC,0
2022,Greenville - SC,0
2023,Greenville - SC,0
2024,Greenville - SC,0
2000,Harrisburg - PA,0
2001,Harrisburg - PA,0
2002,Harrisburg - PA,0
2003,Harrisburg - PA,0
2004,Harrisburg - PA,0
2005,Harrisburg - PA,0
2006,Harrisburg - PA,0
2007,Harrisburg - PA,0
2008,Harrisburg - PA,0
2009,Harrisburg - PA,0
2010,Harrisburg - PA,0
2011,Harrisburg - PA,0
2012,Harrisburg - PA,0
2013,Harrisburg - PA,0
2014,Harrisburg - PA,0
2015,Harrisburg - PA,0
2016,Harrisburg - PA,0
2017,Harrisburg - PA,0
2018,Harrisburg - PA,0
2019,Harrisburg - PA,0
2020,Harrisburg - PA,0
2021,Harrisburg - PA,0
2022,Harrisburg - PA,0
2023,Harrisburg - PA,0
2024,Harrisburg - PA,0
2000,Hartford - CT,0
2001,Hartford - CT,0
2002,Hartford - CT,0
2003,Hartford - CT,0
2004,Hartford - CT,0
2005,Hartford - CT,0
2006,Hartford - CT,0
2007,Hartford - CT,0
2008,Hartford - CT,0
2009,Hartford - CT,0
2010,Hartford - CT,0
2011,Hartford - CT,0
2012,Hartford - CT,0
2013,Hartford - CT,0
2014,Hartford - CT,0
2015,Hartford - CT,0
2016,Hartford - CT,0
2017,Hartford - CT,0
2018,Hartford - CT,0
2019,Hartford - CT,0
2020,Hartford - CT,0
2021,Hartford - CT,0
2022,Hartford - CT,0
2023,Hartford - CT,0
2024,Hartford - CT,0
2000,Honolulu - HI,0
2001,Honolulu - HI,0
2002,Honolulu - HI,0
2003,Honolulu - HI,0
2004,Honolulu - HI,0
2005,Honolulu - HI,0
2006,Honolulu - HI,0
2007,Honolulu - HI,0
2008,Honolulu - HI,0
2009,Honolulu - HI,0
2010,Honolulu - HI,0
2011,Honolulu - HI,0
2012,Honolulu - HI,0
2013,Honolulu - HI,0
2014,Honolulu - HI,0
2015,Honolulu - HI,0
2016,Honolulu - HI,0
2017,Honolulu - HI,0
2018,Honolulu - HI,0
2019,Honolulu - HI,0
2020,Honolulu - HI,0
2021,Honolulu - HI,0
2022,Honolulu - HI,0
2023,Honolulu - HI,0
2024,Honolulu - HI,0
2000,Houston - TX,0
2001,Houston - TX,0
2002,Houston - TX,0
2003,Houston - TX,0
2004,Houston - TX,0
2005,Houston - TX,0
2006,Houston - TX,0
2007,Houston - TX,0
2008,Houston - TX,0
2009,Houston - TX,0
2010,Houston - TX,0
2011,Houston - TX,0
2012,Houston - TX,0
2013,Houston - TX,0
2014,Houston - TX,0
2015,Houston - TX,0
2016,Houston - TX,0
2017,Houston - TX,0
2018,Houston - TX,0
2019,Houston - TX,0
2020,Houston - TX,0
2021,Houston - TX,0
